provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2023;3;12;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;6;28102001_6_48;2023;3;12;0.2;T;0.2;T;0.2;T;0.2;T;0.2;T;0.2;T;0.2;T;0.2;T;0.2;T;0.3;T;0.3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;7;28102001_7_8;2023;3;12;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;2;T;2;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;8;28102001_8_8;2023;3;12;8;T;7;T;6;T;4;T;5;T;5;T;5;T;4;T;3;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;10;28102001_10_49;2023;3;12;6;T;5;T;6;T;7;T;6;T;8;T;4;T;9;T;5;T;4;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;12;28102001_12_8;2023;3;12;10;T;9;T;8;T;6;T;7;T;7;T;7;T;6;T;6;T;6;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;102;1;14;28102001_14_6;2023;3;12;38;T;41;T;40;T;40;T;35;T;33;T;30;T;27;T;27;T;37;T;54;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;120;1;7;28120001_7_8;2023;3;12;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;120;1;8;28120001_8_8;2023;3;12;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;120;1;9;28120001_9_49;2023;3;12;1;T;1;T;2;T;1;T;2;T;1;T;1;T;2;T;1;T;4;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;120;1;10;28120001_10_49;2023;3;12;3;T;6;T;4;T;1;T;1;T;1;T;1;T;1;T;2;T;5;T;4;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;120;1;12;28120001_12_8;2023;3;12;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;120;1;14;28120001_14_6;2023;3;12;54;T;54;T;55;T;52;T;52;T;50;T;52;T;60;T;68;T;71;T;74;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;123;2;7;28123002_7_8;2023;3;12;1;T;1;T;1;T;1;T;2;T;2;T;1;T;5;T;4;T;4;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;123;2;8;28123002_8_8;2023;3;12;7;T;6;T;10;T;8;T;9;T;8;T;9;T;11;T;6;T;6;T;6;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;123;2;10;28123002_10_49;2023;3;12;5;T;6;T;5;T;6;T;8;T;8;T;8;T;8;T;9;T;9;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;123;2;12;28123002_12_8;2023;3;12;9;T;8;T;13;T;10;T;11;T;10;T;11;T;19;T;13;T;12;T;10;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;123;2;14;28123002_14_6;2023;3;12;53;T;53;T;41;T;33;T;28;T;31;T;29;T;27;T;35;T;41;T;52;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;7;28013002_7_8;2023;3;12;2;T;1;T;1;T;1;T;1;T;2;T;3;T;5;T;5;T;5;T;4;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;8;28013002_8_8;2023;3;12;13;T;6;T;9;T;10;T;8;T;12;T;11;T;7;T;5;T;7;T;6;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;10;28013002_10_49;2023;3;12;15;T;14;T;10;T;13;T;7;T;15;T;10;T;9;T;13;T;12;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;12;28013002_12_8;2023;3;12;16;T;8;T;11;T;12;T;10;T;14;T;15;T;14;T;13;T;14;T;12;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;13;2;14;28013002_14_6;2023;3;12;29;T;34;T;31;T;30;T;31;T;17;T;13;T;13;T;18;T;28;T;37;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;7;28133002_7_8;2023;3;12;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;8;28133002_8_8;2023;3;12;2;T;1;T;1;T;1;T;1;T;1;T;3;T;4;T;1;T;2;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;10;28133002_10_49;2023;3;12;8;T;6;T;5;T;5;T;5;T;5;T;6;T;7;T;11;T;13;T;13;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;12;28133002_12_8;2023;3;12;4;T;3;T;3;T;3;T;3;T;3;T;5;T;6;T;3;T;4;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;133;2;14;28133002_14_6;2023;3;12;48;T;49;T;50;T;52;T;53;T;46;T;42;T;37;T;45;T;49;T;54;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;7;28014002_7_8;2023;3;12;8;T;8;T;8;T;7;T;7;T;6;T;7;T;11;T;14;T;11;T;10;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;8;28014002_8_8;2023;3;12;12;T;11;T;9;T;9;T;8;T;9;T;11;T;14;T;10;T;10;T;9;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;10;28014002_10_49;2023;3;12;3;T;3;T;5;T;6;T;9;T;13;T;11;T;14;T;9;T;8;T;9;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;12;28014002_12_8;2023;3;12;24;T;23;T;21;T;20;T;18;T;18;T;22;T;31;T;31;T;26;T;24;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;14;28014002_14_8;2023;3;12;37;T;34;T;34;T;23;T;23;T;21;T;17;T;14;T;20;T;32;T;42;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;14;2;14;28014002_14_6;2023;3;12;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;7;28148004_7_8;2023;3;12;4;T;2;T;1;T;2;T;3;T;2;T;3;T;6;T;11;T;8;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;8;28148004_8_8;2023;3;12;34;T;28;T;24;T;22;T;22;T;22;T;20;T;15;T;16;T;13;T;11;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;9;28148004_9_49;2023;3;12;12;T;11;T;7;T;11;T;6;T;6;T;7;T;8;T;14;T;13;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;10;28148004_10_49;2023;3;12;5;T;3;T;5;T;8;T;10;T;10;T;11;T;10;T;11;T;10;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;12;28148004_12_8;2023;3;12;40;T;31;T;26;T;26;T;27;T;26;T;25;T;24;T;32;T;25;T;19;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;14;28148004_14_6;2023;3;12;9;T;12;T;11;T;9;T;5;T;5;T;6;T;15;T;21;T;33;T;46;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;1;28016001_1_38;2023;3;12;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;6;28016001_6_48;2023;3;12;0.5;T;0.5;T;0.5;T;0.5;T;0.5;T;0.5;T;0.5;T;0.5;T;0.5;T;0.5;T;0.5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;7;28016001_7_8;2023;3;12;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;8;28016001_8_8;2023;3;12;2;T;2;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;9;28016001_9_49;2023;3;12;4;T;3;T;2;T;2;T;1;T;1;T;1;T;2;T;1;T;1;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;10;28016001_10_49;2023;3;12;2;T;3;T;1;T;2;T;2;T;1;T;2;T;2;T;2;T;1;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;12;28016001_12_8;2023;3;12;4;T;4;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;14;28016001_14_6;2023;3;12;52;T;51;T;51;T;52;T;51;T;52;T;51;T;50;T;51;T;47;T;50;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;20;28016001_20_59;2023;3;12;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;30;28016001_30_59;2023;3;12;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;42;28016001_42_2;2023;3;12;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;1.3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;44;28016001_44_2;2023;3;12;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;431;28016001_431_59;2023;3;12;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;161;1;7;28161001_7_8;2023;3;12;1;T;1;T;1;T;1;T;1;T;1;T;2;T;7;T;5;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;161;1;8;28161001_8_8;2023;3;12;7;T;6;T;8;T;7;T;7;T;17;T;25;T;27;T;21;T;18;T;16;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;161;1;9;28161001_9_49;2023;3;12;7;T;7;T;8;T;10;T;8;T;10;T;8;T;11;T;11;T;9;T;6;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;161;1;12;28161001_12_8;2023;3;12;9;T;8;T;10;T;9;T;9;T;19;T;28;T;37;T;28;T;22;T;20;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;161;1;14;28161001_14_6;2023;3;12;30;T;28;T;24;T;24;T;24;T;13;T;4;T;3;T;10;T;17;T;15;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;1;28171001_1_38;2023;3;12;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;6;28171001_6_48;2023;3;12;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;0.1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;7;28171001_7_8;2023;3;12;3;T;3;T;3;T;3;T;5;T;3;T;4;T;7;T;5;T;3;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;8;28171001_8_8;2023;3;12;3;T;3;T;4;T;3;T;4;T;4;T;5;T;4;T;3;T;2;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;9;28171001_9_49;2023;3;12;6;T;7;T;5;T;6;T;5;T;5;T;4;T;5;T;8;T;8;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;10;28171001_10_49;2023;3;12;8;T;7;T;7;T;8;T;7;T;8;T;7;T;7;T;5;T;5;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;12;28171001_12_8;2023;3;12;8;T;8;T;9;T;8;T;12;T;9;T;11;T;15;T;10;T;8;T;7;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;171;1;14;28171001_14_6;2023;3;12;28;T;21;T;15;T;14;T;10;T;11;T;10;T;12;T;23;T;41;T;53;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;7;28180001_7_8;2023;3;12;1;T;1;T;1;T;1;T;1;T;3;T;1;T;4;T;4;T;2;T;1;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;8;28180001_8_8;2023;3;12;15;T;14;T;11;T;12;T;12;T;18;T;13;T;16;T;12;T;11;T;10;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;9;28180001_9_49;2023;3;12;11;T;11;T;10;T;9;T;11;T;11;T;13;T;11;T;7;T;2;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;12;28180001_12_8;2023;3;12;17;T;16;T;13;T;15;T;14;T;23;T;15;T;22;T;18;T;13;T;12;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;180;1;14;28180001_14_6;2023;3;12;36;T;38;T;37;T;28;T;28;T;16;T;24;T;23;T;34;T;46;T;50;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;6;28045002_6_48;2023;3;12;0.6;T;0.6;T;0.6;T;0.6;T;0.6;T;0.6;T;0.6;T;0.6;T;1.9;T;2.1;T;2.7;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;7;28045002_7_8;2023;3;12;1;T;1;T;1;T;2;T;2;T;4;T;3;T;4;T;9;T;5;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;8;28045002_8_8;2023;3;12;5;T;4;T;3;T;7;T;8;T;11;T;20;T;11;T;13;T;8;T;8;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;10;28045002_10_49;2023;3;12;3;T;3;T;7;T;5;T;5;T;5;T;21;T;10;T;7;T;3;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;12;28045002_12_8;2023;3;12;7;T;6;T;5;T;9;T;11;T;17;T;25;T;18;T;27;T;16;T;21;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;45;2;14;28045002_14_6;2023;3;12;55;T;55;T;54;T;50;T;47;T;43;T;33;T;41;T;44;T;55;T;56;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;1;28047002_1_38;2023;3;12;2;T;2;T;2;T;2;T;2;T;2;T;2;T;2;T;3;T;2;T;2;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;7;28047002_7_8;2023;3;12;2;T;1;T;1;T;1;T;1;T;2;T;3;T;14;T;11;T;2;T;3;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;47;2;8;28047002_8_8;2023;3;12;3;T;2;T;2;T;2;T;2;T;7;T;19;T;28;T;18;T;5;T;5;T;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
